panel,param,label,label_unit,base_val,low_val,high_val,base_thresh,row_base_thresh,low_thresh,high_thresh
CIP,p_partner_treat,Partner notification rate,%,0.3,0.2,0.5,6.8008097531612455,6.8008097531612455,5.767392250696856,7.572995699711362
CIP+CRO+NDA,p_partner_treat,Partner notification rate,%,0.3,0.2,0.5,11.912333534771914,11.912333534771914,10.565591261462867,13.697107119330438
CIP,cost_nda_ndb,Cost of NDA/NDB,$,50,25,500,6.8008097531612455,6.8008097531612455,5.965410594112682,15.39856677144062
CIP+CRO+NDA,cost_nda_ndb,Cost of NDA/NDB,$,50,25,500,11.912333534771914,11.912333534771914,12.002197576603377,9.673784871464115
CIP,p_return_sympt,P(return | symptoms),%,0.9,0.7,0.95,6.8008097531612455,6.8008097531612455,5.711969052991918,6.573649641809633
CIP+CRO+NDA,p_return_sympt,P(return | symptoms),%,0.9,0.7,0.95,11.912333534771914,11.912333534771914,10.33270016409115,12.298550153341393
CIP,sens_res_test,Resistance test sensitivity,%,0.99,0.92,1,6.8008097531612455,6.8008097531612455,-2.0313886780786836,7.7868956290591615
CIP+CRO+NDA,sens_res_test,Resistance test sensitivity,%,0.99,0.92,1,11.912333534771914,11.912333534771914,2.2418104504192797,12.899752192233818
CIP,spec_res_test,Resistance test specificity,%,0.98,0.96,1,6.8008097531612455,6.8008097531612455,6.542589099820785,6.661412405987228
CIP+CRO+NDA,spec_res_test,Resistance test specificity,%,0.98,0.96,1,11.912333534771914,11.912333534771914,11.160284773954851,12.399848278108092
