panel,param,label,label_unit,base_val,low_val,high_val,base_thresh,row_base_thresh,low_thresh,high_thresh
CIP,p_partner_treat,Partner notification rate,%,0.3,0.2,0.5,5.635713920044125,5.635713920044125,5.416142516072752,6.171304476370936
CIP+CRO+NDA,p_partner_treat,Partner notification rate,%,0.3,0.2,0.5,9.901638763414136,9.901638763414136,9.53681195778076,10.625403624545603
CIP,p_partner_infected,P(partner infected | index),%,0.455,0.3,0.65,5.635713920044125,5.635713920044125,5.318618583024536,5.83808073311339
CIP+CRO+NDA,p_partner_infected,P(partner infected | index),%,0.455,0.3,0.65,9.901638763414136,9.901638763414136,9.236646906615714,10.433112092818192
CIP,pid_partner_trunc,Partner PID duration truncation,%,0.5,0.25,0.75,5.635713920044125,5.635713920044125,5.591745195491798,5.591745195491798
CIP+CRO+NDA,pid_partner_trunc,Partner PID duration truncation,%,0.5,0.25,0.75,9.901638763414136,9.901638763414136,9.849403859991696,9.849403859991696
CIP,p_pid_asympt,"P(PID | asymptomatic, cured)",%,0.0822,0.0337,0.1435,5.635713920044125,5.635713920044125,5.546230942395904,5.546230942395904
CIP+CRO+NDA,p_pid_asympt,"P(PID | asymptomatic, cured)",%,0.0822,0.0337,0.1435,9.901638763414136,9.901638763414136,9.757537676625871,9.757537676625871
CIP,cost_nda_ndb,Cost of NDA/NDB,$,50,25,500,5.635713920044125,5.635713920044125,5.109063200285426,13.037703986128097
CIP+CRO+NDA,cost_nda_ndb,Cost of NDA/NDB,$,50,25,500,9.901638763414136,9.901638763414136,10.102799944272942,4.8732626164852615
CIP,p_return_sympt,P(return | symptoms),%,0.9,0.7,0.95,5.635713920044125,5.635713920044125,4.887135555494285,5.716502330201567
CIP+CRO+NDA,p_return_sympt,P(return | symptoms),%,0.9,0.7,0.95,9.901638763414136,9.901638763414136,8.227646348963473,10.113871720949104
CIP,sens_res_test,Resistance test sensitivity,%,0.99,0.92,1,5.635713920044125,5.635713920044125,-1.769197399760918,6.699189106645806
CIP+CRO+NDA,sens_res_test,Resistance test sensitivity,%,0.99,0.92,1,9.901638763414136,9.901638763414136,1.8270134399621751,11.005034521293416
CIP,spec_res_test,Resistance test specificity,%,0.98,0.96,1,5.635713920044125,5.635713920044125,5.4359505045359064,5.721505187366225
CIP+CRO+NDA,spec_res_test,Resistance test specificity,%,0.98,0.96,1,9.901638763414136,9.901638763414136,9.192789606924638,10.52020814790292
