group,panel,cip_res,cro_res,nda_res,cost_with_test_mean,cost_with_test_lower,cost_with_test_upper,cost_without_test_mean,cost_without_test_lower,cost_without_test_upper,cost_with_test_mean_ng,cost_with_test_lower_ng,cost_with_test_upper_ng,cost_without_test_mean_ng,cost_without_test_lower_ng,cost_without_test_upper_ng,cost_with_test_ng_init_visit_mean,cost_with_test_ng_init_visit_lower,cost_with_test_ng_init_visit_upper,cost_with_test_ng_init_diag_mean,cost_with_test_ng_init_diag_lower,cost_with_test_ng_init_diag_upper,cost_with_test_ng_cip_mean,cost_with_test_ng_cip_lower,cost_with_test_ng_cip_upper,cost_with_test_ng_cro_mean,cost_with_test_ng_cro_lower,cost_with_test_ng_cro_upper,cost_with_test_ng_nda_mean,cost_with_test_ng_nda_lower,cost_with_test_ng_nda_upper,cost_with_test_ng_follow_visit_mean,cost_with_test_ng_follow_visit_lower,cost_with_test_ng_follow_visit_upper,cost_with_test_ng_follow_diag_mean,cost_with_test_ng_follow_diag_lower,cost_with_test_ng_follow_diag_upper,cost_with_test_ng_follow_drugs_mean,cost_with_test_ng_follow_drugs_lower,cost_with_test_ng_follow_drugs_upper,cost_with_test_ng_partner_total_mean,cost_with_test_ng_partner_total_lower,cost_with_test_ng_partner_total_upper,cost_with_test_ng_complications_mean,cost_with_test_ng_complications_lower,cost_with_test_ng_complications_upper,cost_without_test_ng_init_visit_mean,cost_without_test_ng_init_visit_lower,cost_without_test_ng_init_visit_upper,cost_without_test_ng_init_diag_mean,cost_without_test_ng_init_diag_lower,cost_without_test_ng_init_diag_upper,cost_without_test_ng_cip_mean,cost_without_test_ng_cip_lower,cost_without_test_ng_cip_upper,cost_without_test_ng_cro_mean,cost_without_test_ng_cro_lower,cost_without_test_ng_cro_upper,cost_without_test_ng_nda_mean,cost_without_test_ng_nda_lower,cost_without_test_ng_nda_upper,cost_without_test_ng_follow_visit_mean,cost_without_test_ng_follow_visit_lower,cost_without_test_ng_follow_visit_upper,cost_without_test_ng_follow_diag_mean,cost_without_test_ng_follow_diag_lower,cost_without_test_ng_follow_diag_upper,cost_without_test_ng_follow_drugs_mean,cost_without_test_ng_follow_drugs_lower,cost_without_test_ng_follow_drugs_upper,cost_without_test_ng_partner_total_mean,cost_without_test_ng_partner_total_lower,cost_without_test_ng_partner_total_upper,cost_without_test_ng_complications_mean,cost_without_test_ng_complications_lower,cost_without_test_ng_complications_upper,strategy
MSM,cip,0.1,0,0,303.28847872502786,301.5601756262463,305.6970125538645,303.2985407334131,301.55194958661934,305.73924710094775,360.02196722585666,321.44112694420335,414.0488049156772,360.26564270709486,321.3633655360392,413.30128640643676,167.1,167.1,167.1,133.49,133.49,133.49,0.5016194612510055,0.19137679026406512,0.7864159473249708,0.12136128401523882,0.0994284101451216,0.14366601039214083,0,0,0,0.07099336139419794,0,0.2867894361423746,0.08780877252487364,0,0.3547180731580433,6.295145482310268e-4,0,0.0025430282322898173,54.084431327394555,18.291638771865916,103.320249803233,58.41321520582696,19.767248647702562,112.62768223440932,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042888843536108,0.9797162301058346,1.08856391775502,0,0,0,0,0,0,0,0,0,0,0,0,54.12173250458607,18.398676579055085,102.72377993602227,58.32527845382372,19.389688189890126,111.32722710007997,CIP
MSM,cip+cro,0.1,0,0,303.3094675276377,301.48485238356756,305.7387868577504,303.31333587354635,301.5026368121726,305.7893260350738,360.37220465211976,320.6477682983105,413.99407512691437,360.533139161591,320.72679023179114,414.31510739125986,167.1,167.1,167.1,133.49,133.49,133.49,0.4891434859393425,0.18805865433848146,0.7924765233801242,0.11955814562993232,0.09804531239976912,0.14154628768245964,0.11500184471418107,0,0.2860411899313476,0.06827570899884891,0,0.2832126696832594,0.0844474199096644,0,0.35029411764706103,6.054164961553157e-4,0,0.0025113122171945717,54.4593553730318,17.52412291189264,104.14841951068001,58.63353774868107,19.025972772179358,111.89900152207977,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.044677544845813,0.9865307329351409,1.0890134901271518,0,0,0,0,0,0,0,0,0,0,0,0,54.486710779773034,17.7396455509655,103.07296980189363,58.58658091394604,18.66552537433653,112.34002634416704,CIP+CRO
MSM,cip+cro+nda,0.1,0,0,303.2716510809875,301.5858372478098,305.5604084523802,303.27621979957974,301.57704361198853,305.51510972399944,359.680189744943,322.3197494435787,408.21326240776335,359.70962629653735,322.4299765094894,407.0339697525718,167.1,167.1,167.1,133.49,133.49,133.49,0.48384137388197423,0.1884370086570225,0.7803754965853563,0.1199057442196413,0.09688709508915408,0.14397941911644846,0.10766084353081262,0,0.2768779992617213,0.0703014706608672,0,0.28548951685942314,0.08695300129750824,0,0.35311025639355076,0.0027927523141758935,0,0.05507227363312161,53.78025205078371,19.20190865325366,99.05915566444006,57.9524368538757,20.86382049254661,106.37883493739345,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0454254565779046,0.98576447820417,1.0864390270018625,0,0,0,0,0,0,0,0,0,0,0,0,53.69830459201329,18.81485651015759,97.11423893489473,57.75379275690406,20.48511305986187,105.279288983341,CIP+CRO+NDA
MSM,cip,0.1,0.025,0,303.3524435478544,301.60475317272915,305.687967726814,303.64973387069216,301.8520599543248,306.0171723849852,361.42110534248883,323.24830115497,412.8336907469627,367.9926828369473,327.90326128094875,421.0271002532756,167.1,167.1,167.1,133.49,133.49,133.49,0.4789406044385458,0.1904994945956258,0.7918380589805938,0.12199788500640327,0.1004370326600774,0.14514926001466175,0,0,0,0.284807709082756,0,0.7145181311154571,0.352266956361105,0,0.8837581262230969,0.0861425494616828,0,0.2697279809546897,54.82564549550239,19.011591520667835,102.27812846060742,59.07553633039405,20.082191760596192,111.6056985164711,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0434557803366324,0.9839774196239849,1.084382906812276,0,0,0,1.7721333733174789,0.6832597266223297,2.9771851776950906,2.191878975800809,0.845095889702311,3.6823580529040703,0.7078340682686846,0.27291089895443943,1.1891616782613383,56.44311210018723,20.247954658909368,105.28760335559102,59.79098798006825,20.45654928335717,111.68777904433688,CIP
MSM,cip+cro,0.1,0.025,0,303.33904813058456,301.6123015922923,305.8403185212838,303.66339369422286,301.83254626984876,306.1452692986467,361.1743655754805,322.691052344004,415.298363464847,368.2958980828641,328.49618237257994,421.28367426603603,167.1,167.1,167.1,133.49,133.49,133.49,0.4883068345077275,0.192006566843422,0.7854110372489658,0.11626005965530635,0.09319629318152416,0.13891187772154884,0.2452316947494143,0.05399568034557237,0.5000278396436525,0.081509791684778607,0,0.2942472886058175,0.10081611316947027,0,0.363942384524993,0.0017432321668777822,0,0.0037332886035240107,54.94115004738873,19.324421565909294,104.76066017923516,59.23336690136722,20.59224488290369,113.33356457004352,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0435816455268148,0.9758787803231975,1.086260469292538,0,0,0,1.7795900263039954,0.6456678201150777,3.089206008583694,2.20110180358402,0.798600004700571,3.8209120171673825,0.7108124406071239,0.25789575815428856,1.2339055793991436,56.686992089632525,20.962203938069656,104.65143201736888,60.083752966979475,20.78493478394523,113.1896886642945,CIP+CRO
MSM,cip+cro+nda,0.1,0.025,0,303.3859438364303,301.50748721969796,305.91632507789024,303.70642049683323,301.76662958249744,306.20284820653455,362.09100365367806,321.0132328301709,416.924807844406,369.18012527661347,327.1325325461908,423.5398648402784,167.1,167.1,167.1,133.49,133.49,133.49,0.4835873669836334,0.19064349082140267,0.7904969739587658,0.11710991581436588,0.0942058795497981,0.13920841674011444,0.24419032572703173,0.054288816503800935,0.4924500413001574,0.07790879029792963,0,0.2871265923231059,0.09636218247186816,0,0.35513508778867364,0.006777119343523195,0,0.05723832352150882,55.89502948902433,17.561339101822384,106.83311250174292,60.161876725313,19.188776360203896,114.83144920097928,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.044682077970706,0.9774269018072461,1.0860381318937693,0,0,0,1.8044482329053664,0.6961986806328013,3.146075045732665,2.231847898232448,0.8610995504263997,3.8912509932160955,0.7207414255094128,0.27807903843777004,1.2566204847949636,57.561733991800416,18.75381004435874,107.56406464498608,60.9227664084876,19.036531620654973,116.6850390503751,CIP+CRO+NDA
MSM,cip,0.1,0.05,0,303.37724166448925,301.6184355564392,305.92767416367235,303.9704293253814,302.14300147535886,306.564756314807,361.9697703543764,323.02881225430275,415.3649319699097,374.9742993126192,334.6577543931767,432.1088531248135,167.1,167.1,167.1,133.49,133.49,133.49,0.4798746051249485,0.19191144553723735,0.7818168966445151,0.1223178842814055,0.0992168116108967,0.14693474520300323,0,0,0,0.502239137964161,0,1.1329148992930496,0.6211989593464695,0,1.401255902360946,0.1764519551109918,0,0.3968568594104323,54.76888461273238,18.70691000466291,106.2421620720182,58.87071612416193,19.763594415899842,112.6909448510653,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0437166991224658,0.9837025049157702,1.086359083701996,0,0,0,3.613714396777151,1.80409639278286,5.583490020274316,4.469654897371835,2.231412721637407,6.905989453898963,1.443407252267595,0.7206008918289133,2.230184542368719,57.92990227480945,21.79356880242782,109.35768735568679,60.37235930620814,20.439901193279468,117.38812498427846,CIP
MSM,cip+cro,0.1,0.05,0,303.3022713458003,301.5215430055789,305.78503701169694,303.94652120136686,302.08445839366755,306.52196350986037,360.4524538572556,320.7870782857164,415.6391762258738,374.57114971452177,333.64506778299716,432.9878848809979,167.1,167.1,167.1,133.49,133.49,133.49,0.4907753382017049,0.18910977470677715,0.7928214032716464,0.11323464822663615,0.09108163131549701,0.13670980320104512,0.37897355519405673,0.11109271523178797,0.712758458646615,0.07819152058097135,0,0.3904354715594243,0.09671187994529322,0,0.482913596912814,0.0037727590638219196,0,0.05629057724398899,54.17113585617079,17.860544371445844,104.13079534023042,58.35142580647583,19.04434225276981,114.00980910882777,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042327206238759,0.9841050423812828,1.0877505567928731,0,0,0,3.558814585925329,1.6360742296918767,5.6276096491227925,4.401751576440475,2.0235930099312442,6.960559210526315,1.4214789047472953,0.653488668194552,2.247807017543858,57.6428995848379,21.314511365889132,107.366189498815,60.13290632171964,19.447401905957225,116.17917698113034,CIP+CRO
MSM,cip+cro+nda,0.1,0.05,0,303.3206748492939,301.5766897957444,305.76787771423056,303.9735803909317,302.1469757938101,306.43225081436805,360.78175164422834,322.72178960761295,413.6643495951202,375.0360750021618,335.35193714218843,428.50166074132653,167.1,167.1,167.1,133.49,133.49,133.49,0.4786134544175494,0.18657656054002658,0.7819583504706101,0.11343234126876571,0.09176852245356065,0.13669580827545075,0.3682106522442651,0.11061032188192214,0.6463174811640287,0.07684356842245794,0,0.2894335260115609,0.09504465329005574,0,0.3579884393063597,0.012018486801795106,0,0.05862181918488336,54.46407972546541,18.840450712189853,103.98412775742591,58.6926055219441,20.157784303956678,111.93201232119769,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0425507511278171,0.9848175427219878,1.083515533002789,0,0,0,3.5630568658028126,1.6634755902155052,5.516456006921237,4.406998678161444,2.057484627201366,6.823077836328596,1.4231733766587364,0.664433451915443,2.2034094930984285,58.04382469587426,22.84670832106874,105.1757544884104,60.512384550380155,20.66659992777834,115.6564601446241,CIP+CRO+NDA
MSM,cip,0.1,0.075,0,303.498660353453,301.68423354237524,306.10900803395924,304.37654502236677,302.4174521651963,306.9577068034096,364.83773826070654,325.1957599191001,419.830826494885,383.88135968103455,341.4158376911165,439.6700627357643,167.1,167.1,167.1,133.49,133.49,133.49,0.4929239783688331,0.19199366788447728,0.7891534198874037,0.12236083063994557,0.0983183289202707,0.14516077827547594,0,0,0,0.7134881174536128,0.13473619645010293,1.4683512781701222,0.8824841446344694,0.16664966685068922,1.8161433807243919,0.25695231580061456,0.053517264887869113,0.5366310324721935,56.804471514947025,20.662098639610814,106.62786751635815,60.972971814248105,21.06565930436773,116.39354523917063,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0427400661995834,0.9829611719636778,1.0850965526905831,0,0,0,5.3134724426491955,2.7874566142198307,7.816887735231556,6.572015803605808,3.4476905861931373,9.668387346588117,2.122332817802043,1.1133793793816245,3.122259041073474,61.42666553085297,24.63553246840859,110.68907717692444,63.32171652079132,22.159968354099558,118.37583426368211,CIP
