group,panel,cip_res,cro_res,nda_res,cost_with_test_mean,cost_with_test_lower,cost_with_test_upper,cost_without_test_mean,cost_without_test_lower,cost_without_test_upper,cost_with_test_mean_ng,cost_with_test_lower_ng,cost_with_test_upper_ng,cost_without_test_mean_ng,cost_without_test_lower_ng,cost_without_test_upper_ng,,,,cost_with_test_ng_init_visit_mean,cost_with_test_ng_init_visit_lower,cost_with_test_ng_init_visit_upper,cost_with_test_ng_init_diag_mean,cost_with_test_ng_init_diag_lower,cost_with_test_ng_init_diag_upper,cost_with_test_ng_cip_mean,cost_with_test_ng_cip_lower,cost_with_test_ng_cip_upper,cost_with_test_ng_cro_mean,cost_with_test_ng_cro_lower,cost_with_test_ng_cro_upper,cost_with_test_ng_nda_mean,cost_with_test_ng_nda_lower,cost_with_test_ng_nda_upper,cost_with_test_ng_follow_visit_mean,cost_with_test_ng_follow_visit_lower,cost_with_test_ng_follow_visit_upper,cost_with_test_ng_follow_diag_mean,cost_with_test_ng_follow_diag_lower,cost_with_test_ng_follow_diag_upper,cost_with_test_ng_follow_drugs_mean,cost_with_test_ng_follow_drugs_lower,cost_with_test_ng_follow_drugs_upper,cost_with_test_ng_partner_total_mean,cost_with_test_ng_partner_total_lower,cost_with_test_ng_partner_total_upper,cost_with_test_ng_complications_mean,cost_with_test_ng_complications_lower,cost_with_test_ng_complications_upper,cost_without_test_ng_init_visit_mean,cost_without_test_ng_init_visit_lower,cost_without_test_ng_init_visit_upper,cost_without_test_ng_init_diag_mean,cost_without_test_ng_init_diag_lower,cost_without_test_ng_init_diag_upper,cost_without_test_ng_cip_mean,cost_without_test_ng_cip_lower,cost_without_test_ng_cip_upper,cost_without_test_ng_cro_mean,cost_without_test_ng_cro_lower,cost_without_test_ng_cro_upper,cost_without_test_ng_nda_mean,cost_without_test_ng_nda_lower,cost_without_test_ng_nda_upper,cost_without_test_ng_follow_visit_mean,cost_without_test_ng_follow_visit_lower,cost_without_test_ng_follow_visit_upper,cost_without_test_ng_follow_diag_mean,cost_without_test_ng_follow_diag_lower,cost_without_test_ng_follow_diag_upper,cost_without_test_ng_follow_drugs_mean,cost_without_test_ng_follow_drugs_lower,cost_without_test_ng_follow_drugs_upper,cost_without_test_ng_partner_total_mean,cost_without_test_ng_partner_total_lower,cost_without_test_ng_partner_total_upper,cost_without_test_ng_complications_mean,cost_without_test_ng_complications_lower,cost_without_test_ng_complications_upper,strategy
MSM,cip,0.1,0,0.05,303.3068788,301.5215447,305.7075167,303.3188518,301.523772,305.7416263,360.3983477,321.2633815,414.2233351,360.7649663,321.0987872,413.2118082,0.366618546,-0.164594228,-1.011526898,167.1,167.1,167.1,133.49,133.49,133.49,0.484486967,0.195557065,0.792578496,0.121486333,0.098192563,0.145319026,0,0,0,0.064440924,0,0.281952848,0.079704332,0,0.348735895,5.71E-04,0,0.002500141,54.43905714,18.17222965,102.6492178,58.82125762,19.51734196,112.4572893,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043282141,0.985858612,1.084948676,0,0,0,0,0,0,0,0,0,0,0,0,54.56762866,17.88522827,103.1826862,58.81597614,19.08822413,111.3561204,CIP
MSM,cip,0.1,0.025,0.05,303.3515059,301.5844694,305.6570099,303.6650951,301.8593442,305.9786597,361.4107298,322.539821,410.7524179,368.3816286,328.5953379,418.2586635,6.970898719,6.055516942,7.50624561,167.1,167.1,167.1,133.49,133.49,133.49,0.493291114,0.193664914,0.785318708,0.121870085,0.099324916,0.145576238,0,0,0,0.284950845,0,0.717816481,0.352443996,0,0.887837719,0.08543314,0,0.230725923,54.93884236,18.93084145,100.4375571,59.0318104,19.68306723,108.2699986,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.044630109,0.984549911,1.087358881,0,0,0,1.810851655,0.713581865,3.013167844,2.239768028,0.882600097,3.726863535,0.723299111,0.285022314,1.203534049,56.81340413,20.68914619,102.1123757,59.9971517,20.35540143,109.4516305,CIP
MSM,cip,0.1,0.05,0.05,303.3500572,301.6068556,305.7382098,303.9370178,302.0865936,306.4926433,361.3297697,323.0714145,413.4711715,374.3956526,334.398222,428.1744149,13.06588292,11.3268075,14.70324349,167.1,167.1,167.1,133.49,133.49,133.49,0.479280959,0.19089089,0.784322784,0.121925953,0.09999592,0.145608016,0,0,0,0.485804695,0,1.087339848,0.600871872,0,1.344885993,0.166506487,0,0.395500387,54.13646631,19.15900096,103.3123214,58.27964965,20.01030333,110.341636,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042392503,0.979256983,1.086927663,0,0,0,3.573973835,1.784169236,5.738557923,4.420501428,2.206765639,7.097786573,1.427533885,0.71264149,2.292122513,57.38906361,22.63848718,107.2377088,59.80446321,20.72624316,113.4619307,CIP
MSM,cip,0.1,0.075,0.05,303.3548185,301.6165746,305.8349638,304.2156051,302.3825671,306.6520601,361.4659549,323.0622507,413.9548901,380.6338775,340.1582795,433.2751575,19.16792262,17.09602879,19.32026736,167.1,167.1,167.1,133.49,133.49,133.49,0.490623062,0.188812822,0.790614399,0.12147355,0.098171741,0.145829238,0,0,0,0.683200933,0.134014968,1.392591619,0.84502317,0.165757609,1.722439371,0.246856061,0.05324672,0.525747157,53.81269996,18.76383103,102.28405,57.71500994,19.23794407,110.0985606,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043844917,0.981927354,1.087703371,0,0,0,5.37974453,2.708222027,8.188452212,6.653985026,3.34968858,10.12796019,2.148803535,1.081731118,3.270671118,58.41235853,23.49391683,105.7224324,59.81770587,19.90597303,114.6395246,CIP
MSM,cip,0.1,0.1,0.05,303.4393918,301.6347794,305.9599391,304.5989176,302.7014163,307.1717486,363.229096,323.5784977,418.8819103,388.8765938,346.928387,444.555415,25.64749782,23.34988933,25.67350472,167.1,167.1,167.1,133.49,133.49,133.49,0.484781389,0.193841822,0.783999314,0.122901045,0.100462626,0.149117083,0,0,0,0.916226997,0.254037438,1.769138118,1.133243537,0.314208472,2.188174268,0.338995069,0.057010919,0.674068134,54.97331731,19.09646639,106.7516131,58.67490924,19.92509656,114.8178808,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.045976099,0.98941497,1.084547752,0,0,0,7.201325429,3.758051365,10.65434552,8.907023616,4.648179365,13.17792233,2.876388173,1.501059021,4.255610131,61.21547448,25.48998337,109.8985457,61.63025984,21.78303092,118.5196443,CIP
MSM,cip,0.1,0.125,0.05,303.4978191,301.6069667,306.0118036,304.9410351,302.8364441,307.7018018,364.6722132,322.6887302,418.4214006,396.3722898,350.4814667,453.4893615,31.70007666,27.79273651,35.06796092,167.1,167.1,167.1,133.49,133.49,133.49,0.485173201,0.193329379,0.785643734,0.121965935,0.096728065,0.146028535,0,0,0,1.146489591,0.282223113,2.105163104,1.418045881,0.349070176,2.60378977,0.434325312,0.111725615,0.805709052,55.45706619,17.37595558,105.3363269,59.30429788,17.72113613,114.260218,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042731858,0.985431308,1.086522855,0,0,0,8.906666339,5.040645561,12.82267746,11.01628974,6.234567441,15.85984304,3.557543673,2.013358987,5.121695743,63.19310755,24.44556044,113.5663786,63.11944012,19.58993515,122.2126175,CIP
MSM,cip,0.1,0.15,0.05,303.5069358,301.7357458,305.9227505,305.2310116,303.1053242,307.870118,364.752702,325.777935,418.3794947,402.7709313,356.7223078,458.1484375,38.01822936,30.94437276,39.76894284,167.1,167.1,167.1,133.49,133.49,133.49,0.492244078,0.190962981,0.788089162,0.122981843,0.09876788,0.146931332,0,0,0,1.300171288,0.417719208,2.359465117,1.608128459,0.51665973,2.918325484,0.497097213,0.163349769,0.917238539,55.13128739,20.40540312,103.8473442,58.78737103,19.90276715,112.2068375,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04416952,0.985003278,1.088724301,0,0,0,10.67721967,5.926434767,15.39293937,13.20621443,7.330163725,19.03889442,4.264746635,2.367165189,6.148322165,64.34502171,27.62399529,112.9035609,63.31359571,21.61840693,119.641463,CIP
MSM,cip,0.3,0,0.05,303.3756084,301.6110191,305.7308669,303.3555577,301.6069129,305.6542447,361.8355403,323.1784769,412.6262665,361.4628306,322.7732933,411.0685489,-0.372709679,-0.405183594,-1.557717601,167.1,167.1,167.1,133.49,133.49,133.49,0.380397155,0.146282636,0.6172979,0.325310638,0.286929388,0.364304755,0,0,0,0.216446228,0,0.654213111,0.267713449,0,0.809169325,0.001919279,0,0.005801059,55.34297943,19.79634859,102.4752555,59.68438783,21.09521624,110.3257039,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043749798,0.983539589,1.085427948,0,0,0,0,0,0,0,0,0,0,0,0,55.23831171,19.65749245,102.2164865,59.51733042,20.78812977,109.2207751,CIP
MSM,cip,0.3,0.025,0.05,303.4634254,301.6383485,305.8163864,303.6739143,301.8603144,306.1034368,363.8379887,323.6536698,417.8714629,368.5099591,328.2572319,422.0601553,4.671970424,4.603562087,4.188692482,167.1,167.1,167.1,133.49,133.49,133.49,0.380673582,0.146140118,0.615801135,0.324646175,0.288615944,0.360913398,0,0,0,0.779467524,0.138465809,1.589926595,0.964091362,0.171262672,1.966514896,0.231274503,0.053171975,0.504682551,55.69783779,18.94002575,104.8078465,59.68451965,19.33259473,113.8105857,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043739073,0.984059838,1.086508557,0,0,0,1.830892708,0.671530573,3.076116471,2.264555983,0.830588581,3.804722106,0.731304005,0.268225984,1.228677293,56.81480594,20.39372762,106.3573908,60.14422989,19.79849754,115.6227384,CIP
MSM,cip,0.3,0.05,0.05,303.4671474,301.728357,305.918005,303.9069333,302.1068331,306.2559506,363.9100665,325.6692248,416.5269609,373.5670148,333.3715164,426.2770498,9.656948385,7.702291535,9.750088883,167.1,167.1,167.1,133.49,133.49,133.49,0.378447736,0.149360309,0.616394594,0.324044322,0.287721471,0.360344814,0,0,0,1.321392213,0.428662052,2.372618203,1.63437575,0.530194484,2.934593996,0.448736588,0.115949059,0.859503645,54.25444662,20.14404438,103.0781112,57.88145449,20.59130433,110.6093679,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04308204,0.9822117,1.085509043,0,0,0,3.63529452,1.678019325,5.623172594,4.496346466,2.075473175,6.9550712,1.452026889,0.670242581,2.246034748,56.56255507,21.6186481,103.3554466,58.88709885,21.1566724,111.2996943,CIP
MSM,cip,0.3,0.075,0.05,303.6506419,301.8489408,306.1679305,304.3079468,302.4468853,306.782921,368.0143382,328.4033114,421.4541309,382.4079207,342.3350245,437.4270951,14.39358246,13.93171308,15.97296414,167.1,167.1,167.1,133.49,133.49,133.49,0.371479476,0.146641236,0.607854589,0.324897732,0.286772319,0.362301989,0,0,0,1.866614479,0.799745241,3.185600293,2.308738774,0.989172037,3.940138148,0.663247322,0.270584424,1.155816626,56.71338577,21.01744695,105.0829037,60.08951734,20.39804437,114.7533894,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.045342534,0.983371764,1.087676841,0,0,0,5.322611212,2.660276595,8.170074474,6.583319172,3.290386844,10.10522952,2.125983069,1.062580522,3.263330594,60.19277341,24.58755988,107.7924626,61.73911597,21.41466723,117.0783037,CIP
MSM,cip,0.3,0.1,0.05,303.7383836,301.9120985,306.2844702,304.6136336,302.6567522,307.4190966,370.0262892,329.8560954,426.2801411,389.2167859,346.5151367,449.4400926,19.19049672,16.65904132,23.15995149,167.1,167.1,167.1,133.49,133.49,133.49,0.380257586,0.150541922,0.620006381,0.325196491,0.287379672,0.360750752,0,0,0,2.451691288,0.987836208,3.967932818,3.032396246,1.221814029,4.907773113,0.904921448,0.353811058,1.484644676,56.89017454,20.34059529,108.4590164,59.94727717,19.30701727,116.1377088,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043030805,0.982280693,1.084909851,0,0,0,7.114716057,3.612155677,10.39817858,8.799900041,4.467726981,12.86107996,2.841794239,1.442784661,4.153290692,61.52148593,24.23169983,114.4826871,62.24412206,20.09782723,121.4567891,CIP
MSM,cip,0.3,0.125,0.05,303.8446628,301.9958027,306.2894893,304.9569714,302.9921996,307.4432733,372.1808917,331.3412971,426.145872,396.8119891,353.4911536,452.2266121,24.63109732,22.14985645,26.08074011,167.1,167.1,167.1,133.49,133.49,133.49,0.373892976,0.147852273,0.620124615,0.3241417,0.285389969,0.357523064,0,0,0,2.996199928,1.410997701,4.8147478,3.705876617,1.745205097,5.955163779,1.11999654,0.530804301,1.787393896,57.42898474,20.49956371,106.801702,60.20389252,20.75867931,114.9450634,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04381007,0.982642908,1.086940151,0,0,0,8.993880832,5.136431518,12.79392466,11.12416176,6.353041156,15.82427988,3.592379306,2.051618277,5.11021116,63.45399528,27.1606119,110.7259594,63.13925848,22.18365852,118.878502,CIP
MSM,cip,0.3,0.15,0.05,303.9970878,302.1828549,306.4753065,305.3286652,303.3255858,307.8882465,375.6745224,336.4194533,427.3998569,405.1150285,361.629252,459.7779729,29.44050614,25.20979864,32.37811605,167.1,167.1,167.1,133.49,133.49,133.49,0.382122437,0.14684294,0.617143663,0.32485677,0.289714242,0.361682364,0,0,0,3.554479309,1.634559304,5.572671748,4.396389451,2.02171926,6.892608778,1.347193014,0.606767717,2.133294734,59.07122081,23.36333745,105.33362,61.78597401,22.00574511,112.8585066,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04393102,0.98825772,1.086701869,0,0,0,10.75407827,5.857262314,15.17013262,13.30127767,7.244607159,18.76331389,4.295445865,2.339535994,6.059327616,66.28121946,30.26389262,111.6615006,65.43490039,23.71967323,118.9743423,CIP
MSM,cip,0.5,0,0.05,303.3166593,301.5437442,305.7003195,303.2681176,301.5063252,305.6410898,360.6717998,321.6665329,413.509651,359.6373945,320.965177,413.2665039,-1.034405323,-0.701355917,-0.243147083,167.1,167.1,167.1,133.49,133.49,133.49,0.267458618,0.104692911,0.44122475,0.52558658,0.481304724,0.571283761,0,0,0,0.363787525,0,0.906963804,0.449953847,0,1.121786274,0.003225788,0,0.008042258,53.76821298,17.71061676,103.366124,57.96629323,18.98340531,110.7872976,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.041576473,0.979048662,1.085044559,0,0,0,0,0,0,0,0,0,0,0,0,53.4451205,17.93532917,103.9265851,57.69586292,18.95691948,111.4696132,CIP
MSM,cip,0.5,0.025,0.05,303.5227128,301.7697318,305.8723506,303.6387477,301.8430448,305.9279816,365.170545,326.1515795,416.5750669,367.7349412,328.4846429,418.5326732,2.564396167,2.33306342,1.95760621,167.1,167.1,167.1,133.49,133.49,133.49,0.273999281,0.103960905,0.442544149,0.527790042,0.479402683,0.569676749,0,0,0,1.274196951,0.393576115,2.283798656,1.576001868,0.486798129,2.824736747,0.36822672,0.106405297,0.708195168,55.55771244,20.12831166,101.0249784,59.30506131,20.0203524,109.7418552,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043464485,0.977075299,1.084946619,0,0,0,1.793677367,0.702235757,3.06000884,2.218525857,0.868566563,3.784799238,0.716439274,0.280490397,1.222243505,56.19429966,21.16766532,102.9432408,59.49776608,20.41108612,111.2139157,CIP
MSM,cip,0.5,0.05,0.05,303.6731706,301.8228219,306.261091,303.9588951,302.1174786,306.6238866,368.492171,328.4188192,425.3451683,374.7755093,334.7220443,431.7101135,6.283338354,6.303225079,6.364945285,167.1,167.1,167.1,133.49,133.49,133.49,0.271286428,0.104602215,0.44252903,0.527212206,0.482036274,0.570927223,0,0,0,2.160708391,0.98675153,3.526520264,2.672491453,1.220472434,4.361808056,0.732407695,0.309872863,1.212016215,56.24284336,20.04157025,107.3290985,59.46250422,19.81763327,115.9107195,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042875506,0.980050697,1.086660136,0,0,0,3.62775042,1.587865057,5.609565793,4.487015478,1.963965065,6.938241506,1.449013589,0.634232728,2.240599853,57.73533467,22.37847742,107.2600879,60.17306458,20.51997283,114.8436491,CIP
MSM,cip,0.5,0.075,0.05,303.8163893,301.9543191,306.2967796,304.2519723,302.3245337,306.9048985,371.6692205,330.7341488,428.1046676,381.1665428,339.3629092,437.4961162,9.497322261,8.628760413,9.391448615,167.1,167.1,167.1,133.49,133.49,133.49,0.268945971,0.106056515,0.442644254,0.526957669,0.479932669,0.571079508,0,0,0,3.034009412,1.345913304,4.771465552,3.752641615,1.66470488,5.901629744,1.0837123,0.452416603,1.742948136,56.77296217,19.8563656,108.0118872,59.49769105,18.44028434,115.7472576,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043417505,0.981640646,1.086146022,0,0,0,5.341033807,2.724117609,8.005426983,6.606105323,3.369349172,9.901583798,2.133341511,1.088080208,3.197566298,58.95641053,22.15212884,109.1830723,60.55769832,18.44021373,116.6519949,CIP
MSM,cip,0.5,0.1,0.05,304.0443292,302.1827909,306.4582154,304.6589075,302.7059635,307.1642618,376.7186106,335.7338008,431.0703165,390.089604,347.1399201,445.2802443,13.37099344,11.40611931,14.20992784,167.1,167.1,167.1,133.49,133.49,133.49,0.275487782,0.104948894,0.437717222,0.527269441,0.478185497,0.571177389,0,0,0,4.001917554,2.011732903,6.130604442,4.949807437,2.488229792,7.582692808,1.47297789,0.722208494,2.267687704,58.82413393,22.1015638,106.2874156,61.18773985,20.43305778,115.910618,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043636071,0.981550988,1.086624432,0,0,0,7.231343653,3.859797263,10.53052026,8.944151923,4.774024686,13.02476794,2.888378197,1.541698859,4.206151245,62.06166042,24.87916141,110.8711556,62.80615102,21.3183739,118.6479888,CIP
MSM,cip,0.5,0.125,0.05,304.1481548,302.2809576,306.6312934,304.91183,302.9158057,307.5291584,379.1225625,337.7554431,433.505881,395.7465011,352.1911874,450.826624,16.62393855,14.43574428,17.32074302,167.1,167.1,167.1,133.49,133.49,133.49,0.278472945,0.109024244,0.447111629,0.52726372,0.48474907,0.568938668,0,0,0,4.91469217,2.486563048,7.491872182,6.078780866,3.075527694,9.266388959,1.841753864,0.899386532,2.78397955,58.51178322,22.11335723,105.7726837,60.3686806,19.38990767,116.3741584,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0440944,0.98268603,1.086078872,0,0,0,8.991000258,4.809055432,13.04081622,11.1205989,5.948123123,16.12964991,3.591228734,1.92085614,5.208825779,62.48742497,26.04984692,109.0488636,62.22668891,19.54721191,119.2938853,CIP
MSM,cip,0.5,0.15,0.05,304.3273213,302.4334499,306.8134143,305.2537586,303.2022686,307.9407484,382.8749998,340.89639,437.7976278,403.1078983,358.64806,460.3058602,20.23289853,17.75167005,22.50823237,167.1,167.1,167.1,133.49,133.49,133.49,0.269119519,0.109632305,0.442348076,0.527090589,0.482369515,0.57236246,0,0,0,5.744732771,2.962942236,8.683915669,7.105423989,3.664741544,10.74077858,2.174454795,1.131231217,3.300617685,59.70521657,24.15668983,107.4447848,61.25037622,22.03402611,116.5556093,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04298771,0.981556743,1.086534916,0,0,0,10.68170727,5.933092755,15.54252938,13.21176495,7.338398716,19.22391616,4.266539092,2.369824555,6.208072129,64.55018202,28.35379314,111.8702071,63.72787083,22.91736608,120.8789507,CIP
MSM,cip,0.7,0,0.05,303.4022764,301.5773557,305.8535521,303.3280345,301.5233372,305.8812288,362.542009,322.7776409,416.7680352,360.9588314,320.9385291,414.8520592,-1.583177636,-1.839111803,-1.915976,167.1,167.1,167.1,133.49,133.49,133.49,0.166153881,0.06540218,0.274765563,0.730621254,0.680124905,0.777368755,0,0,0,0.508951011,0,1.110274708,0.629500599,0,1.37325318,0.004512986,0,0.009845063,55.27270414,18.75623253,106.4544257,59.26785138,19.2135152,113.3284322,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043428887,0.983717627,1.084899407,0,0,0,0,0,0,0,0,0,0,0,0,54.81877492,17.9278613,105.324848,59.01063436,18.92046695,112.9389287,CIP
MSM,cip,0.7,0.025,0.05,303.5902113,301.8411546,306.0209499,303.6269201,301.8589628,306.079529,366.7716865,327.7527162,421.2665256,367.413112,328.5628168,421.3453587,0.641425494,0.810100641,0.078833041,167.1,167.1,167.1,133.49,133.49,133.49,0.161849669,0.064060871,0.271311106,0.730395021,0.678746316,0.776286654,0,0,0,1.771636156,0.696140919,3.033147005,2.191263989,0.861028108,3.751574939,0.517216834,0.168148478,0.940926518,55.60620875,20.27844557,104.5191977,59.06541876,19.12009259,112.5719364,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043114788,0.980780899,1.086289254,0,0,0,1.790896258,0.693581537,3.050017298,2.215086017,0.857862514,3.772441111,0.71532843,0.277033686,1.218252635,55.79205002,19.54372536,104.846792,59.15931915,19.74205868,111.9641617,CIP
MSM,cip,0.7,0.05,0.05,303.8541347,302.0189911,306.406975,303.9812716,302.1411091,306.5363437,372.5410999,332.6918375,429.4143438,375.1827774,333.6538824,430.8762829,2.641677549,0.962044845,1.461939137,167.1,167.1,167.1,133.49,133.49,133.49,0.16733998,0.064989868,0.269686207,0.730003293,0.676620247,0.775893705,0,0,0,3.040613579,1.344324871,4.887855017,3.760810037,1.662740213,6.045587093,1.024727991,0.433931783,1.66286959,57.52833543,22.15809886,107.6757282,60.37497145,20.80156316,117.0220888,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042548594,0.975602528,1.084251126,0,0,0,3.56283664,1.72735454,5.500315803,4.40672629,2.136493876,6.803114681,1.423085413,0.68994829,2.196962695,58.13881377,22.64124679,108.2084875,60.71909793,20.58279858,117.7613787,CIP
