group,panel,cip_res,cro_res,nda_res,cost_with_test_mean,cost_with_test_lower,cost_with_test_upper,cost_without_test_mean,cost_without_test_lower,cost_without_test_upper,cost_with_test_mean_ng,cost_with_test_lower_ng,cost_with_test_upper_ng,cost_without_test_mean_ng,cost_without_test_lower_ng,cost_without_test_upper_ng,cost_with_test_ng_init_visit_mean,cost_with_test_ng_init_visit_lower,cost_with_test_ng_init_visit_upper,cost_with_test_ng_init_diag_mean,cost_with_test_ng_init_diag_lower,cost_with_test_ng_init_diag_upper,cost_with_test_ng_cip_mean,cost_with_test_ng_cip_lower,cost_with_test_ng_cip_upper,cost_with_test_ng_cro_mean,cost_with_test_ng_cro_lower,cost_with_test_ng_cro_upper,cost_with_test_ng_nda_mean,cost_with_test_ng_nda_lower,cost_with_test_ng_nda_upper,cost_with_test_ng_follow_visit_mean,cost_with_test_ng_follow_visit_lower,cost_with_test_ng_follow_visit_upper,cost_with_test_ng_follow_diag_mean,cost_with_test_ng_follow_diag_lower,cost_with_test_ng_follow_diag_upper,cost_with_test_ng_follow_drugs_mean,cost_with_test_ng_follow_drugs_lower,cost_with_test_ng_follow_drugs_upper,cost_with_test_ng_partner_total_mean,cost_with_test_ng_partner_total_lower,cost_with_test_ng_partner_total_upper,cost_with_test_ng_complications_mean,cost_with_test_ng_complications_lower,cost_with_test_ng_complications_upper,cost_without_test_ng_init_visit_mean,cost_without_test_ng_init_visit_lower,cost_without_test_ng_init_visit_upper,cost_without_test_ng_init_diag_mean,cost_without_test_ng_init_diag_lower,cost_without_test_ng_init_diag_upper,cost_without_test_ng_cip_mean,cost_without_test_ng_cip_lower,cost_without_test_ng_cip_upper,cost_without_test_ng_cro_mean,cost_without_test_ng_cro_lower,cost_without_test_ng_cro_upper,cost_without_test_ng_nda_mean,cost_without_test_ng_nda_lower,cost_without_test_ng_nda_upper,cost_without_test_ng_follow_visit_mean,cost_without_test_ng_follow_visit_lower,cost_without_test_ng_follow_visit_upper,cost_without_test_ng_follow_diag_mean,cost_without_test_ng_follow_diag_lower,cost_without_test_ng_follow_diag_upper,cost_without_test_ng_follow_drugs_mean,cost_without_test_ng_follow_drugs_lower,cost_without_test_ng_follow_drugs_upper,cost_without_test_ng_partner_total_mean,cost_without_test_ng_partner_total_lower,cost_without_test_ng_partner_total_upper,cost_without_test_ng_complications_mean,cost_without_test_ng_complications_lower,cost_without_test_ng_complications_upper,strategy
MSM,cip,0.1,0,0,301.9443091995176,301.04403151529505,303.24811120378985,301.96091832585034,301.06327120634387,303.2601263059211,330.3835510334191,310.6873935030229,358.45458031812194,330.7352799371946,311.1369427866401,358.85681674972795,167.1,167.1,167.1,133.49,133.49,133.49,0.4805773112756186,0.1863835265907157,0.783658735417627,0.12224351866771502,0.10058159926662381,0.14661236633499866,0,0,0,0.0759353748479859,0,0.28580725244618366,0.09392134596352195,0,0.3535032504892386,6.733365240554765e-4,0,0.002534318982387474,24.50127949582889,7.881959278685183,49.68488287374236,28.81518689452275,9.024529575142058,56.958945118074425,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043480612636905,0.9807006748222612,1.0853967685653012,0,0,0,0,0,0,0,0,0,0,0,0,24.607345926402402,7.971654188500482,49.78598671788862,28.788210338085353,9.023313156198805,56.95479534294223,CIP
MSM,cip+cro,0.1,0,0,301.92041277992314,301.0288297034385,303.1994382044974,301.9305890117903,301.04050797932985,303.20623705424464,329.8508784718627,310.2763716238353,358.47923385696674,330.06631077505074,310.43723411349214,358.2217985828319,167.1,167.1,167.1,133.49,133.49,133.49,0.48560562650323785,0.19077332472863132,0.7782984755388475,0.11953062470308601,0.0960905664068749,0.14230930760499433,0.11161119124635621,0,0.2802848037486782,0.06893126439391939,0,0.28844149671253716,0.0852582494496769,0,0.3567614390158352,6.112294573993503e-4,0,0.002557677435300504,24.03666360392582,7.208607753092234,48.84735499868643,28.15166622385335,8.425638315187836,56.28115581915577,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0445678334305308,0.9821631363308476,1.0873244254809973,0,0,0,0,0,0,0,0,0,0,0,0,24.107992170161406,7.359486808312161,49.018619479302906,28.11943562696486,8.425638315187836,56.278756881942854,CIP+CRO
MSM,cip+cro+nda,0.1,0,0,301.9462978145725,301.04150680130175,303.31801086939055,301.95600221925054,301.0560847623217,303.31417670737864,330.43193862250143,310.4863425426819,359.39256180407773,330.63535330506716,310.88015254578,359.19796981051246,167.1,167.1,167.1,133.49,133.49,133.49,0.48328853046098985,0.18815691702094814,0.781804883318135,0.1192067231369549,0.09554603803157216,0.14325296194037673,0.10611556361494898,0,0.275383873522811,0.07569975482248384,0,0.2854732041049029,0.09362991723250656,0,0.35309007981755874,0.00281325435703207,0,0.054887761004420776,24.434788481802823,7.738071828855055,49.68701831172809,28.717029700621538,8.939380952268317,57.493288915680345,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0428816344510075,0.9815255137492609,1.0866515453593781,0,0,0,0,0,0,0,0,0,0,0,0,24.504282499579435,7.814337274204683,49.792112685226,28.685331670486338,8.923957643795577,57.28977688846107,CIP+CRO+NDA
MSM,cip,0.1,0,0.05,301.9080225202055,301.03367198889885,303.30512053708924,301.9248636350823,301.0580922370109,303.31503232132036,329.59111968572336,310.21199236710254,360.53048320387626,329.9488553560666,310.8088477564375,360.90834037855774,167.1,167.1,167.1,133.49,133.49,133.49,0.48491423084472063,0.1881373038401797,0.7882636324158765,0.12301549210052125,0.10079447830872704,0.1474125158393253,0,0,0,0.06936577469789526,0,0.28646129236882945,0.0857956773963503,0,0.3543122056036555,6.150823607178773e-4,0,0.0025401185055871486,23.900309718933805,7.823463409417148,50.100468289836634,28.032036582167205,8.935180324779083,59.17362243181387,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.045073342776752,0.9848552068318327,1.0859294289781103,0,0,0,0,0,0,0,0,0,0,0,0,24.0039934379947,7.938945335028155,50.24793383661575,28.001644352587086,8.934432674378245,59.05036008311364,CIP
MSM,cip+cro,0.1,0,0.05,301.95315278179294,301.0424506608072,303.2785230908365,301.9622828621902,301.07048355389315,303.2705746419152,330.619585207401,310.7957649389968,359.17872409246183,330.8115490921301,310.95603372877775,359.4592514303154,167.1,167.1,167.1,133.49,133.49,133.49,0.47155220149002175,0.18768425069130468,0.7783479545567257,0.12001993901647354,0.09727776043075266,0.14267737076598627,0.11201573069158638,0,0.2774694783573804,0.08224431595562562,0,0.3061009474178009,0.10172461606813807,0,0.37860368819857976,0.004117881030230187,0,0.05605658724683442,24.62278618310503,7.521500882340754,48.920931226666724,28.896546621610298,8.942707670362122,57.6136121888056,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0434886295859531,0.9850313549063631,1.0871573234912688,0,0,0,0,0,0,0,0,0,0,0,0,24.691868668038403,7.340762366801331,49.019081321358854,28.864888968581337,8.941802686361166,57.54025226339371,CIP+CRO
MSM,cip+cro+nda,0.1,0,0.05,301.91733246953,301.0346413442237,303.17999528451486,301.9275803296016,301.0584879820596,303.17657410393343,329.79504937621897,310.6901185556433,357.63019893423797,330.0114967063938,310.82904285322434,357.9184424964693,167.1,167.1,167.1,133.49,133.49,133.49,0.4807418482771049,0.18652661094026643,0.7783946928688087,0.12030155624786931,0.09830087362623019,0.14451987805688463,0.09944644213250711,0,0.27116441101574906,0.07377305098688765,0,0.287795008551086,0.09124685640118091,0,0.3559618243646353,0.007705032713567954,0,0.0580882344938939,23.93995711135617,7.646837379471923,48.629901199006966,28.09240319987771,8.84749319723367,56.042003657565324,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0435838853858899,0.9852345492094686,1.088667593676815,0,0,0,0,0,0,0,0,0,0,0,0,24.012423299936035,7.72357407299922,48.666232904207334,28.063014610363332,8.84749319723367,56.04002567700442,CIP+CRO+NDA
MSM,cip,0.1,0.025,0,302.0074708449091,301.08476231451067,303.32206535837895,302.2731307026159,301.305423901345,303.62398156494834,331.781596567008,311.21214791405714,361.0741215624546,337.6161575779913,316.6203859420734,367.0960841785906,167.1,167.1,167.1,133.49,133.49,133.49,0.48452751583173376,0.19308414779514838,0.7912032764215642,0.12210460116253585,0.09953820323749944,0.14800824053452122,0,0,0,0.2931950470284675,0,0.7186406574721359,0.3626409101407385,0,0.8888571097332653,0.08828331937444181,0,0.2293223938889843,25.168120927293252,7.527578220414237,49.919656092308784,29.543706627492693,8.405439456268141,58.705252919214615,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0434301841508196,0.9808696046531992,1.0856850116216858,0,0,0,1.8161232723215721,0.7070340876810907,3.130272928100986,2.2462882749125184,0.8745014203200469,3.8717060030186614,0.7254047261230118,0.2824069690370231,1.2503087266739843,25.95241775580654,8.359550089816619,51.10206149553184,30.175056600161508,8.580875124646958,60.56435477593324,CIP
MSM,cip+cro,0.1,0.025,0,301.9778795267992,301.0647419653198,303.36622557670074,302.26072415114186,301.29694194712647,303.6831890344329,331.1348287759105,311.2298471076195,361.3185847219442,337.3601233229154,316.2110064040642,368.71603697335956,167.1,167.1,167.1,133.49,133.49,133.49,0.4750673428003089,0.1851989082720411,0.7853518593767294,0.11724154983186923,0.09489969538888085,0.14131778547388293,0.23991549603624435,0.05398987435843842,0.45197740112994345,0.07483297003208302,0,0.29599553250661326,0.09255782673004799,0,0.3661047155935368,0.0022818228177837034,0,0.054095680358658034,24.97184441690848,8.142267844652459,50.860306543605574,29.275154159197122,9.343068235114064,59.67294145160761,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0429880564917058,0.9852927559886909,1.083928354582389,0,0,0,1.7784883492889318,0.6890924032752346,3.0069704687413656,2.1997391845375085,0.8523100878663147,3.7191982559132812,0.7103724034545982,0.2752406148247481,1.2010586630217939,25.802334237930115,8.652019353906802,51.48425645204728,30.019242660888683,9.625018058990138,61.02957119485424,CIP+CRO
MSM,cip+cro+nda,0.1,0.025,0,301.97791834386067,301.0994898814685,303.30481895955586,302.26281936039396,301.34317431770944,303.53756152973364,331.09570307031424,311.8530675129816,359.7522209807274,337.3614256005456,317.2136799595148,366.3383475805123,167.1,167.1,167.1,133.49,133.49,133.49,0.48856011661064325,0.19513308433132814,0.7924672258935583,0.11644289827092236,0.09439529838574783,0.14081344190256115,0.24495731854933012,0.05434782608695729,0.48756709638941037,0.07543820681535915,0,0.2928444897454918,0.09330641924606227,0,0.36220732023721025,0.007363662599392774,0,0.05734002615348238,25.005218055725845,8.30102605832017,48.407090058082396,29.19955457194214,9.716573588824497,57.90758158154121,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.044704654160254,0.9847266259342079,1.0888949679376994,0,0,0,1.7979969400117046,0.6907440608166562,3.0960732934501936,2.223868559051064,0.8543529552344029,3.8294058797323465,0.7181646189533889,0.27590032785455104,1.2366485434774683,25.850868022862127,9.31631857457722,49.349991200571274,29.93568934822198,9.939760269624916,58.77655374156633,CIP+CRO+NDA
MSM,cip,0.1,0.025,0.05,302.04236882475806,301.0907574584833,303.3832632718343,302.3124422040347,301.3319130701321,303.7590359119627,332.55410134891235,311.5651645296275,363.17361411580083,338.49056593930453,317.0868021183305,369.14044307525205,167.1,167.1,167.1,133.49,133.49,133.49,0.48246971603276056,0.18770409227263865,0.7810265118824558,0.12161507266452846,0.09872078208509183,0.14644309343076628,0,0,0,0.290264185637282,0,0.7211454709517597,0.359015848076533,0,0.8919552106363706,0.08874020745511586,0,0.2700172406277244,25.846323651337098,8.177482549241615,53.07052322474907,30.33004046075582,9.51260659167931,61.22188988800072,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.0429369944852125,0.9851753364191186,1.0852515906680806,0,0,0,1.8376937341828679,0.7820198767098122,3.120076091723276,2.2729678931421433,0.9672482625897092,3.859093954956966,0.7340205041471752,0.3123581549408069,1.2462358570551448,26.64483236602393,8.737676656901154,53.437845976680634,30.98809251267327,9.752241862040066,62.44735046837719,CIP
