Group,Strategy,cip_res,cro_res,nda_res,cost_with_test_mean,cost_with_test_lower,cost_with_test_upper,cost_without_test_mean,cost_without_test_lower,cost_without_test_upper,cost_with_test_mean_ng,cost_with_test_lower_ng,cost_with_test_upper_ng,cost_without_test_mean_ng,cost_without_test_lower_ng,cost_without_test_upper_ng,median,low,high,cost_with_test_ng_init_visit_mean,cost_with_test_ng_init_visit_lower,cost_with_test_ng_init_visit_upper,cost_with_test_ng_init_diag_mean,cost_with_test_ng_init_diag_lower,cost_with_test_ng_init_diag_upper,cost_with_test_ng_cip_mean,cost_with_test_ng_cip_lower,cost_with_test_ng_cip_upper,cost_with_test_ng_cro_mean,cost_with_test_ng_cro_lower,cost_with_test_ng_cro_upper,cost_with_test_ng_nda_mean,cost_with_test_ng_nda_lower,cost_with_test_ng_nda_upper,cost_with_test_ng_follow_visit_mean,cost_with_test_ng_follow_visit_lower,cost_with_test_ng_follow_visit_upper,cost_with_test_ng_follow_diag_mean,cost_with_test_ng_follow_diag_lower,cost_with_test_ng_follow_diag_upper,cost_with_test_ng_follow_drugs_mean,cost_with_test_ng_follow_drugs_lower,cost_with_test_ng_follow_drugs_upper,cost_with_test_ng_partner_total_mean,cost_with_test_ng_partner_total_lower,cost_with_test_ng_partner_total_upper,cost_with_test_ng_complications_mean,cost_with_test_ng_complications_lower,cost_with_test_ng_complications_upper,cost_without_test_ng_init_visit_mean,cost_without_test_ng_init_visit_lower,cost_without_test_ng_init_visit_upper,cost_without_test_ng_init_diag_mean,cost_without_test_ng_init_diag_lower,cost_without_test_ng_init_diag_upper,cost_without_test_ng_cip_mean,cost_without_test_ng_cip_lower,cost_without_test_ng_cip_upper,cost_without_test_ng_cro_mean,cost_without_test_ng_cro_lower,cost_without_test_ng_cro_upper,cost_without_test_ng_nda_mean,cost_without_test_ng_nda_lower,cost_without_test_ng_nda_upper,cost_without_test_ng_follow_visit_mean,cost_without_test_ng_follow_visit_lower,cost_without_test_ng_follow_visit_upper,cost_without_test_ng_follow_diag_mean,cost_without_test_ng_follow_diag_lower,cost_without_test_ng_follow_diag_upper,cost_without_test_ng_follow_drugs_mean,cost_without_test_ng_follow_drugs_lower,cost_without_test_ng_follow_drugs_upper,cost_without_test_ng_partner_total_mean,cost_without_test_ng_partner_total_lower,cost_without_test_ng_partner_total_upper,cost_without_test_ng_complications_mean,cost_without_test_ng_complications_lower,cost_without_test_ng_complications_upper
MSM,CIP,0.1,0,0,303.2884787,301.5601756,305.6970126,303.2985407,301.5519496,305.7392471,360.0219672,321.4411269,414.0488049,360.2656427,321.3633655,413.3012864,0.243675481,-0.077761408,-0.747518509,167.1,167.1,167.1,133.49,133.49,133.49,0.501619461,0.19137679,0.786415947,0.121361284,0.09942841,0.14366601,0,0,0,0.070993361,0,0.286789436,0.087808773,0,0.354718073,6.30E-04,0,0.002543028,54.08443133,18.29163877,103.3202498,58.41321521,19.76724865,112.6276822,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042888844,0.97971623,1.088563918,0,0,0,0,0,0,0,0,0,0,0,0,54.1217325,18.39867658,102.7237799,58.32527845,19.38968819,111.3272271
MSM,CIP,0.1,0.025,0,303.3524435,301.6047532,305.6879677,303.6497339,301.85206,306.0171724,361.4211053,323.2483012,412.8336907,367.9926828,327.9032613,421.0271003,6.571577494,4.654960126,8.193409506,167.1,167.1,167.1,133.49,133.49,133.49,0.478940604,0.190499495,0.791838059,0.121997885,0.100437033,0.14514926,0,0,0,0.284807709,0,0.714518131,0.352266956,0,0.883758126,0.086142549,0,0.269727981,54.8256455,19.01159152,102.2781285,59.07553633,20.08219176,111.6056985,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.04345578,0.98397742,1.084382907,0,0,0,1.772133373,0.683259727,2.977185178,2.191878976,0.84509589,3.682358053,0.707834068,0.272910899,1.189161678,56.4431121,20.24795466,105.2876034,59.79098798,20.45654928,111.687779
MSM,CIP,0.1,0.05,0,303.3772417,301.6184356,305.9276742,303.9704293,302.1430015,306.5647563,361.9697704,323.0288123,415.364932,374.9742993,334.6577544,432.1088531,13.00452896,11.62894214,16.74392115,167.1,167.1,167.1,133.49,133.49,133.49,0.479874605,0.191911446,0.781816897,0.122317884,0.099216812,0.146934745,0,0,0,0.502239138,0,1.132914899,0.621198959,0,1.401255902,0.176451955,0,0.396856859,54.76888461,18.70691,106.2421621,58.87071612,19.76359442,112.6909449,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043716699,0.983702505,1.086359084,0,0,0,3.613714397,1.804096393,5.58349002,4.469654897,2.231412722,6.905989454,1.443407252,0.720600892,2.230184542,57.92990227,21.7935688,109.3576874,60.37235931,20.43990119,117.388125
MSM,CIP,0.1,0.075,0,303.4986604,301.6842335,306.109008,304.376545,302.4174522,306.9577068,364.8377383,325.1957599,419.8308265,383.8813597,341.4158377,439.6700627,19.04362142,16.22007777,19.83923624,167.1,167.1,167.1,133.49,133.49,133.49,0.492923978,0.191993668,0.78915342,0.122360831,0.098318329,0.145160778,0,0,0,0.713488117,0.134736196,1.468351278,0.882484145,0.166649667,1.816143381,0.256952316,0.053517265,0.536631032,56.80447151,20.66209864,106.6278675,60.97297181,21.0656593,116.3935452,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.042740066,0.982961172,1.085096553,0,0,0,5.313472443,2.787456614,7.816887735,6.572015804,3.447690586,9.668387347,2.122332818,1.113379379,3.122259041,61.42666553,24.63553247,110.6890772,63.32171652,22.15996835,118.3758343
MSM,CIP,0.1,0.1,0,303.4213379,301.6652931,305.6536605,304.5950887,302.623474,307.0871299,363.026863,324.0553953,413.8125516,388.7585441,345.7983887,443.1006159,25.73168107,21.74299336,29.28806428,167.1,167.1,167.1,133.49,133.49,133.49,0.478481716,0.189970851,0.785769887,0.122336968,0.098505525,0.14761975,0,0,0,0.921364795,0.271209401,1.846818092,1.139598268,0.335447767,2.284253436,0.343672741,0.10671909,0.703575535,54.69551788,19.47163409,102.7838485,58.43695606,19.7611916,109.1843616,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.044859105,0.989242634,1.085632509,0,0,0,7.206870001,3.786800636,10.56559774,8.913881469,4.683738157,13.06815384,2.878602812,1.512542194,4.220162061,61.01109884,24.78771851,107.9885591,61.39063131,20.87953539,115.3108325
MSM,CIP,0.1,0.125,0,303.5757891,301.6833813,306.0988815,305.0567328,302.9469616,307.6312141,366.3336911,325.1485993,420.5754592,399.0440721,352.573862,453.042843,32.710381,27.42526269,32.46738374,167.1,167.1,167.1,133.49,133.49,133.49,0.483984859,0.186905088,0.79294768,0.121785574,0.099782326,0.145273584,0,0,0,1.097747773,0.396128805,2.002994712,1.357759128,0.489955447,2.477421883,0.415861339,0.112591524,0.752294809,57.1185555,19.56995617,106.9865934,61.13204754,19.8918392,115.2766721,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043199463,0.978116011,1.087204887,0,0,0,9.125866212,4.939369969,12.96067905,11.28740906,6.109303821,16.03053153,3.645097544,1.972907002,5.176817002,65.13857492,27.34344436,114.5062919,64.95962713,20.79223853,121.3412723
MSM,CIP,0.1,0.15,0,303.5008792,301.6701736,306.0065906,305.2086231,303.1736917,307.7591404,364.6520807,324.6056195,418.8132757,402.340191,357.2424926,458.8447239,37.68811029,32.63687303,40.03144822,167.1,167.1,167.1,133.49,133.49,133.49,0.505186073,0.193108523,0.786537223,0.122193479,0.101119717,0.144378438,0,0,0,1.302648376,0.434897995,2.37248537,1.611192268,0.537907466,2.9344297,0.496363159,0.167761905,0.912073881,55.14737959,18.07318583,105.2171572,58.7142888,18.45794776,112.7127769,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.044835977,0.984362331,1.086746914,0,0,0,10.58058681,5.66207823,15.38320651,13.0866932,7.003191982,19.02685624,4.226149067,2.261574624,6.144434618,64.24427327,27.42412109,112.5888458,63.2581691,19.81223081,120.6568861
MSM,CIP,0.3,0,0,303.2969301,301.5129155,305.8524419,303.2890433,301.5317894,305.8197204,360.222505,320.8167255,416.5506017,359.9214583,320.8816361,417.5437287,-0.301046617,0.06491057,0.993126983,167.1,167.1,167.1,133.49,133.49,133.49,0.381268597,0.147026045,0.611756713,0.325644006,0.288404581,0.362086823,0,0,0,0.215175365,0,0.663892661,0.26614157,0,0.821141561,0.00190801,0,0.00588689,53.89695881,18.30603669,105.2741416,58.09371047,19.18594536,114.9226253,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043213517,0.979766163,1.084526671,0,0,0,0,0,0,0,0,0,0,0,0,53.80325124,17.94599947,104.5744654,57.97690349,18.97357787,115.5849615
MSM,CIP,0.3,0.025,0,303.4199192,301.6226682,306.0047487,303.635333,301.8490769,306.1949675,362.9423327,323.4409263,419.6268425,367.6643715,328.1691875,423.3458276,4.722038786,4.728261202,3.718985082,167.1,167.1,167.1,133.49,133.49,133.49,0.378476662,0.15256141,0.615185984,0.324516163,0.28620544,0.360481754,0,0,0,0.756449461,0.136808743,1.505651139,0.935621265,0.169213115,1.862278047,0.22408343,0.052960515,0.458994065,54.91484334,18.89784053,107.0930497,58.89406905,19.57871366,116.0784824,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043559338,0.983232702,1.085580233,0,0,0,1.811042654,0.699975875,3.136706441,2.240004267,0.865771407,3.879663351,0.723375401,0.279587744,1.252878431,56.05499234,20.30887118,107.4519251,59.39634043,19.63568188,115.704038
MSM,CIP,0.3,0.05,0,303.5409203,301.7473242,305.9661446,303.978528,302.1320959,306.5868301,365.516901,326.2940242,421.2441224,375.1033121,333.9536457,430.5882371,9.586411028,7.659621537,9.34411476,167.1,167.1,167.1,133.49,133.49,133.49,0.376987605,0.143574369,0.610141124,0.323606885,0.288593553,0.360524116,0,0,0,1.323765621,0.411720185,2.418944899,1.637311321,0.509239785,2.991893583,0.449606759,0.11445701,0.829714374,55.73995525,19.64827108,105.6583456,59.45476004,19.73762756,115.8895271,167.1,167.1,167.1,133.49,133.49,133.49,0,0,0,1.043314495,0.983630458,1.087142051,0,0,0,3.560698536,1.693386035,5.653547972,4.404081758,2.094479628,6.992641256,1.422231401,0.676380426,2.258167428,58.13600939,21.31269772,108.0801831,60.57706748,20.39355732,116.7814533
