group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
MSM,cip,0.1,0,0.05,0.33590631115875114,-7.71182826587741,8.227439610011382,CIP
MSM,cip+cro,0.1,0,0.05,0.19837773391743385,-6.622972897691264,7.54426216235314,CIP+CRO
MSM,cip+cro+nda,0.1,0,0.05,0.3013147470307899,-7.75782418067533,8.510003461851497,CIP+CRO+NDA
MSM,cip,0.1,0.025,0.05,7.243583601092099,-1.4081390711630195,17.164307693991923,CIP
MSM,cip+cro,0.1,0.025,0.05,7.297047678911389,-1.848382970836551,16.853453754181945,CIP+CRO
MSM,cip+cro+nda,0.1,0.025,0.05,7.406770897891671,-2.2949406239030647,17.170993966702138,CIP+CRO+NDA
MSM,cip,0.1,0.05,0.05,13.539275944018017,3.0950094435507776,25.1903676018177,CIP
MSM,cip+cro,0.1,0.05,0.05,14.773308460874086,5.327653460201933,26.960087540660027,CIP+CRO
MSM,cip+cro+nda,0.1,0.05,0.05,14.510870924725657,4.059623105041105,25.742943228979264,CIP+CRO+NDA
MSM,cip,0.1,0.075,0.05,19.792427595557374,7.8968207653254785,32.82026141815473,CIP
MSM,cip+cro,0.1,0.075,0.05,22.09258140703156,10.89198905127732,36.358705743965835,CIP+CRO
MSM,cip+cro+nda,0.1,0.075,0.05,22.21439131541478,10.361709829405855,36.136383341746864,CIP+CRO+NDA
MSM,cip,0.1,0.1,0.05,26.55776139550448,14.00248449653919,41.96563331909934,CIP
MSM,cip+cro,0.1,0.1,0.05,29.025173697955005,16.25569638473887,43.66657321769067,CIP+CRO
MSM,cip+cro+nda,0.1,0.1,0.05,29.605884433081677,15.45642849136063,45.795903286547045,CIP+CRO+NDA
MSM,cip,0.1,0.125,0.05,33.238119001312,18.77622779621761,49.87164494580049,CIP
MSM,cip+cro,0.1,0.125,0.05,36.156128224568135,19.268061016086328,55.166976147976335,CIP+CRO
MSM,cip+cro+nda,0.1,0.125,0.05,36.207101704929094,20.45234367807378,53.2498652900749,CIP+CRO+NDA
MSM,cip,0.1,0.15,0.05,39.58201327063279,22.561295537793097,58.963145515222514,CIP
MSM,cip+cro,0.1,0.15,0.05,43.54821311094921,26.64533500351269,63.49009269193172,CIP+CRO
MSM,cip+cro+nda,0.1,0.15,0.05,43.81120266036103,25.268223575009397,63.610620328126814,CIP+CRO+NDA
MSM,cip,0.3,0,0.05,-0.39424729423238614,-8.383242021979488,7.662059061268214,CIP
MSM,cip+cro,0.3,0,0.05,-0.809257087913347,-8.925872268024973,7.378825365316446,CIP+CRO
MSM,cip+cro+nda,0.3,0,0.05,-0.7520071419077208,-9.212379388845378,7.175433363845167,CIP+CRO+NDA
MSM,cip,0.3,0.025,0.05,4.8969407534757785,-3.926997270842989,14.633000398712394,CIP
MSM,cip+cro,0.3,0.025,0.05,6.142579501435244,-2.2377357385971317,15.322976313820632,CIP+CRO
MSM,cip+cro+nda,0.3,0.025,0.05,6.143243371653552,-1.9243844839799336,15.419286587842754,CIP+CRO+NDA
MSM,cip,0.3,0.05,0.05,10.161207139323322,0.4668327499020017,21.307706297915836,CIP
MSM,cip+cro,0.3,0.05,0.05,13.083106268003625,3.092401184343098,25.53683984589159,CIP+CRO
MSM,cip+cro+nda,0.3,0.05,0.05,13.063561028750756,2.546647299468898,24.542320545680116,CIP+CRO+NDA
MSM,cip,0.3,0.075,0.05,15.12389199896216,3.8599458341524526,28.15946974742736,CIP
MSM,cip+cro,0.3,0.075,0.05,19.93112990342991,8.834988992162106,32.84072135588635,CIP+CRO
MSM,cip+cro+nda,0.3,0.075,0.05,20.177819067883917,7.606713767337904,34.278121820944484,CIP+CRO+NDA
MSM,cip,0.3,0.1,0.05,20.172150084223667,7.291027267658406,34.84381556568399,CIP
MSM,cip+cro,0.3,0.1,0.05,26.85956398342286,12.707742666777976,42.55148188283251,CIP+CRO
MSM,cip+cro+nda,0.3,0.1,0.05,27.220533608284697,12.75991590542903,42.87556837522654,CIP+CRO+NDA
MSM,cip,0.3,0.125,0.05,25.54765940886066,10.988892611241843,41.35449292435522,CIP
MSM,cip+cro,0.3,0.125,0.05,34.12894361901331,17.568065835976835,52.04021534264185,CIP+CRO
MSM,cip+cro+nda,0.3,0.125,0.05,33.990901148858306,18.07059171789884,51.84359025994539,CIP+CRO+NDA
MSM,cip,0.3,0.15,0.05,30.621619937281228,14.408058570832917,49.240546527430965,CIP
MSM,cip+cro,0.3,0.15,0.05,40.1077558997191,23.335617596153135,59.492648123147376,CIP+CRO
MSM,cip+cro+nda,0.3,0.15,0.05,41.476022586042816,23.930326708058125,62.00488465321377,CIP+CRO+NDA
MSM,cip,0.5,0,0.05,-1.0589867512335875,-9.227898374206188,7.005590701167659,CIP
MSM,cip+cro,0.5,0,0.05,-1.5048660085997267,-8.945263362626761,6.812454828020956,CIP+CRO
MSM,cip+cro+nda,0.5,0,0.05,-1.5557272221115956,-8.977582817953483,6.363122877083136,CIP+CRO+NDA
MSM,cip,0.5,0.025,0.05,2.7317156552273714,-6.217971635991739,12.038317767400502,CIP
MSM,cip+cro,0.5,0.025,0.05,4.6755753977459085,-4.032238937039852,14.344323665386714,CIP+CRO
MSM,cip+cro+nda,0.5,0.025,0.05,4.873738648926573,-3.117307660818543,14.105488061965984,CIP+CRO+NDA
MSM,cip,0.5,0.05,0.05,6.6100152889795085,-3.4527606803172053,17.29074479500468,CIP
MSM,cip+cro,0.5,0.05,0.05,11.303463670605122,1.4405958834699661,22.39152974516495,CIP+CRO
MSM,cip+cro+nda,0.5,0.05,0.05,11.838529276856963,1.649236784343684,23.074726615164895,CIP+CRO+NDA
MSM,cip,0.5,0.075,0.05,10.062436249571578,-1.2744816423304326,23.0041557913716,CIP
